points;parameters;xmin;xmax;ymin;ymax
1500000;[[-0.4, -0.815, -0.318, 1.151, -0.123, 1.463, -1.211, -0.438, 0.164, 1.491], [0.43, 1.313, -1.775, -0.143, 1.716, 1.894, -0.645, 1.305, 1.575, -2.031]];-0.49;0.08;-0.46;0.76
1500000;[[-0.252, -1.044, -0.844, 0.957, -0.26, 1.942, -1.204, -0.425, -0.401, 1.521], [0.731, 0.834, -1.719, -0.448, 1.794, 1.325, -0.532, 0.917, 0.534, -1.983]];-0.47;0.0;0.0;0.78
1500000;[[-0.468, -1.092, -0.048, 1.264, -0.541, 1.61, -1.192, -0.461, 0.171, 1.352], [0.469, 1.239, -1.972, -0.216, 1.814, 1.892, -0.758, 1.192, 1.517, -2.187]];-0.49;0.0;-0.4;0.64
1500000;[[-0.428, -0.946, -0.248, 1.214, -0.123, 1.565, -1.286, -0.477, 0.179, 1.455], [0.476, 1.313, -1.807, -0.127, 1.608, 1.906, -0.654, 1.334, 1.661, -1.96]];-0.43;0.02;-0.32;0.54
1500000;[[-0.372, -0.956, -0.816, 1.192, -0.155, 1.639, -1.487, -0.425, -0.2, 1.539], [0.613, 0.764, -1.623, -0.185, 1.746, 1.268, -0.573, 1.048, 0.389, -2.134]];-0.54;0.03;-0.24;0.8
1500000;[[-0.409, -0.9, -0.26, 1.191, -0.146, 1.576, -1.259, -0.475, 0.161, 1.49], [0.473, 1.324, -1.774, -0.154, 1.672, 1.856, -0.668, 1.302, 1.629, -2.006]];-0.43;0.04;-0.34;0.58
1500000;[[-0.324, -0.734, -0.785, 1.127, 0.067, 1.445, -1.29, -0.455, -0.05, 1.44], [0.425, 1.057, -1.738, -0.22, 1.72, 1.576, -0.619, 1.115, 0.99, -1.942]];-0.47;0.12;-0.46;0.67
1500000;[[-0.482, -1.013, -0.174, 1.162, -0.04, 1.484, -1.358, -0.462, 0.051, 1.344], [0.559, 1.303, -1.859, -0.211, 1.679, 1.829, -0.725, 1.047, 1.714, -2.023]];-0.51;0.0;-0.28;0.69
1500000;[[-0.317, -0.72, -0.775, 1.13, 0.068, 1.465, -1.23, -0.456, -0.045, 1.454], [0.436, 1.113, -1.77, -0.215, 1.699, 1.618, -0.657, 1.129, 0.972, -1.945]];-0.48;0.15;-0.49;0.74
1500000;[[-0.47, -0.948, -0.012, 1.345, -0.519, 1.554, -1.391, -0.446, 0.33, 1.405], [0.428, 1.21, -1.847, -0.017, 1.717, 1.909, -0.704, 1.204, 1.623, -2.231]];-0.55;0.08;-0.54;0.76
1500000;[[-0.485, -1.024, 0.01, 1.216, -0.462, 1.605, -1.148, -0.457, 0.148, 1.387], [0.52, 1.25, -1.939, -0.211, 1.823, 1.802, -0.732, 1.132, 1.538, -2.178]];-0.61;0.11;-0.46;0.86
